director_actor,info,introduce,name,pic_link,rank,rating_num,rating_score
导演: 詹姆斯·沃德·布柯特 James Ward Byrkit   主演: 艾米丽·芭尔多尼 Em...,2013 / 美国 英国 / 科幻 悬疑 惊悚,小成本大魅力。,彗星来的那一夜,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2187896734.jpg,228,509320人评价,8.5
导演: 彼得·威尔 Peter Weir   主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,1998 / 美国 / 剧情 科幻,如果再也不能见到你，祝你早安，午安，晚安。,楚门的世界,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg,12,1513251人评价,9.3
导演: 彼特·道格特 Pete Docter / 凯普·鲍尔斯 Kemp Powers   主演: 杰米·...,2020 / 美国 / 动画 奇幻 音乐,,心灵奇旅,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2626308994.jpg,229,865832人评价,8.7
导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 泰伊·谢里丹 Tye Sheri...,2018 / 美国 / 动作 科幻 冒险,写给影迷，动漫迷和游戏迷的一封情书。,头号玩家,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2516578307.jpg,151,1255640人评价,8.7
导演: 拉库马·希拉尼 Rajkumar Hirani   主演: 阿米尔·汗 Aamir Khan / 卡...,2009 / 印度 / 剧情 喜剧 爱情 歌舞,英俊版憨豆，高情商版谢耳朵。,三傻大闹宝莱坞,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg,14,1721124人评价,9.2
导演: 加布里尔·穆奇诺 Gabriele Muccino   主演: 威尔·史密斯 Will Smith ...,2006 / 美国 / 剧情 传记 家庭,平民励志片。 ,当幸福来敲门,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614359276.jpg,23,1399109人评价,9.2
导演: 朴勋政 Hoon-jung Park   主演: 李政宰 Jung-Jae Lee / 崔岷植 Min-sik...,2013 / 韩国 / 剧情 犯罪,要做就做得狠一点，这样才能活下去。,新世界,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1903379979.jpg,152,362476人评价,8.9
导演: 安德鲁·斯坦顿 Andrew Stanton   主演: 本·贝尔特 Ben Burtt / 艾丽...,2008 / 美国 / 科幻 动画 冒险,小瓦力，大人生。,机器人总动员,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg,15,1215483人评价,9.3
导演: 李安 Ang Lee   主演: 赵文瑄 Winston Chao / 郎雄 Sihung Lung / 归亚...,1993 / 中国台湾 美国 / 剧情 喜剧 爱情 同性 家庭,中国家庭的喜怒哀乐忍。,喜宴,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2249048907.jpg,154,320150人评价,9.0
导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主...,2011 / 法国 / 剧情 喜剧,满满温情的高雅喜剧。,触不可及,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg,24,982075人评价,9.3
